index,label
511,0
843,0
628,0
146,1
675,0
845,0
545,0
600,1
19,1
577,0
292,1
85,0
770,0
508,1
657,1
721,1
40,1
679,1
832,0
730,0
506,1
110,0
172,1
128,0
496,0
651,0
68,1
741,1
788,0
776,1
339,0
203,1
654,0
331,1
423,0
25,1
30,0
692,0
181,0
655,1
639,1
838,0
846,0
620,0
638,0
641,0
568,0
492,0
750,0
230,1
811,0
660,0
812,0
515,0
867,0
866,1
390,1
684,0
206,0
48,1
327,0
323,0
879,0
191,0
346,1
343,0
546,0
78,0
95,0
595,0
350,1
720,1
245,0
717,0
519,1
787,0
629,1
315,0
522,1
516,1
767,0
777,0
871,0
581,1
217,0
4,0
189,1
170,1
541,0
195,0
58,1
14,0
820,0
594,0
486,0
347,0
830,1
414,0
362,0
701,0
622,1
630,0
863,1
450,0
703,0
709,0
76,1
161,0
194,0
666,0
5,1
498,1
429,0
765,0
276,0
251,0
818,1
504,0
303,0
565,0
708,0
178,1
205,0
182,1
712,1
826,1
458,0
351,0
857,0
605,1
127,0
449,0
413,1
269,0
42,1
873,0
106,0
737,1
254,1
768,0
738,0
82,0
371,0
227,0
357,1
569,0
485,0
725,0
662,1
109,1
261,0
591,0
665,1
809,1
21,0
154,0
609,1
494,0
137,0
188,0
739,1
695,0
294,0
10,0
418,0
769,0
372,1
548,1
686,1
681,1
279,0
875,1
75,1
356,1
734,0
63,0
130,0
444,1
753,1
816,0
606,0
878,0
567,1
798,0
379,1
3,0
588,0
480,0
53,1
60,0
220,0
456,0
9,0
243,1
578,1
299,1
890,0
328,1
785,0
295,0
316,0
200,0
320,0
696,1
216,1
248,1
618,0
837,1
71,0
682,1
168,1
100,0
393,1
386,0
415,0
683,0
587,1
13,0
872,0
133,0
147,1
754,1
678,0
131,0
575,0
333,1
344,0
367,0
120,1
635,0
585,1
219,1
614,1
551,0
714,0
501,1
535,0
134,0
854,0
745,1
677,0
455,0
31,1
419,0
136,0
471,0
22,0
563,0
440,1
664,1
781,0
126,0
411,0
311,1
139,0
689,0
632,0
700,0
487,0
868,1
403,0
104,1
590,0
615,0
637,0
531,1
602,0
288,0
263,1
381,0
240,0
326,0
260,1
560,0
801,1
550,1
114,0
26,1
83,0
670,1
329,1
540,0
573,0
495,0
761,1
593,0
672,0
489,0
646,0
116,1
291,1
554,1
849,0
185,0
475,0
142,0
265,1
527,0
437,1
488,0
165,1
454,1
199,0
571,0
688,1
112,0
7,1
186,0
755,0
645,0
462,0
719,0
384,0
138,0
364,1
171,0
869,1
324,0
433,1
852,0
718,1
886,0
466,1
616,0
407,1
478,1
179,1
6,1
141,1
86,0
335,1
586,1
39,0
322,1
374,0
803,0
731,0
840,0
597,0
149,0
238,1
234,1
51,1
685,1
355,0
626,1
697,0
876,0
148,0
312,0
221,0
317,0
822,0
807,0
824,1
553,0
802,1
358,1
84,0
520,1
877,0
748,0
310,0
491,1
368,0
258,1
204,1
259,0
524,0
222,0
45,0
656,1
235,0
382,1
17,1
52,0
166,0
246,0
482,0
12,0
566,0
365,1
484,0
643,0
744,0
669,0
773,0
800,1
690,0
884,0
864,0
305,0
38,1
479,0
559,0
887,0
579,0
889,1
97,1
853,1
157,0
446,0
580,1
687,0
287,0
557,1
789,1
859,0
193,0
421,0
66,0
780,1
625,0
543,1
169,1
399,1
233,1
153,1
870,1
61,1
422,0
740,1
225,0
460,1
103,1
532,0
839,1
865,0
760,1
396,0
152,1
50,1
790,0
772,0
623,0
72,1
445,0
43,1
810,0
499,1
231,0
469,0
174,1
604,0
673,1
771,0
239,1
470,1
627,1
892,0
391,0
32,0
842,0
105,1
716,1
680,0
211,0
201,0
255,0
405,0
397,0
62,0
338,0
821,1
336,1
436,0
11,1
123,0
332,0
517,0
774,0
793,0
55,1
400,1
874,1
321,1
59,0
307,0
547,0
164,0
197,0
162,0
107,1
663,0
797,0
285,1
764,0
804,0
448,1
533,0
192,0
296,0
817,1
49,0
155,0
855,1
94,0
888,1
624,0
313,0
538,1
784,0
87,0
228,0
583,0
434,1
91,0
65,1
453,1
409,1
619,0
512,0
633,0
173,0
215,0
79,1
298,0
73,0
252,0
377,0
352,0
283,0
791,1
441,0
493,0
380,0
135,0
848,0
505,0
570,1
404,0
823,0
237,1
132,0
118,0
361,0
599,1
278,1
647,1
268,1
101,1
640,1
36,0
529,1
223,1
314,0
555,0
815,0
707,1
160,0
674,0
799,0
144,1
424,1
431,1
257,1
417,1
348,0
242,0
691,0
15,1
762,0
47,0
704,0
806,0
250,1
44,1
69,0
474,0
795,0
102,1
77,0
661,0
375,0
244,1
256,0
825,1
735,0
891,0
383,0
113,0
636,1
306,1
140,0
473,1
584,1
99,0
856,1
572,0
28,0
196,0
621,0
880,0
523,0
794,0
592,0
783,1
544,1
249,1
742,0
427,0
272,1
376,0
756,1
90,1
318,1
778,1
617,1
860,1
117,1
366,1
452,0
589,0
210,1
281,1
96,1
0,1
300,0
667,0
121,1
596,0
642,1
796,1
699,1
723,1
858,1
2,0
271,0
111,1
18,0
129,1
509,0
289,1
280,0
209,0
198,0
388,0
693,1
882,1
282,1
218,0
746,1
702,0
67,0
325,0
786,1
247,0
782,1
610,0
385,0
412,0
611,0
420,1
176,0
844,0
88,1
464,0
304,1
308,0
37,0
92,0
747,0
649,0
267,1
850,0
743,1
542,1
582,0
29,0
340,1
277,0
841,1
883,0
736,0
724,0
337,0
359,0
163,1
851,1
8,1
27,1
861,1
552,0
167,0
1,1
64,0
438,0
175,0
766,0
729,0
224,0
525,0
536,1
775,0
425,0
459,0
598,0
151,0
671,0
264,0
510,1
150,0
476,0
539,1
722,0
528,1
395,0
34,0
468,0
451,1
262,1
808,1
833,1
98,0
829,0
426,0
334,0
711,0
156,0
253,0
576,1
416,1
521,1
727,0
705,1
457,0
373,0
613,0
562,0
676,0
834,1
472,0
612,0
16,1
483,0
177,0
461,1
503,1
556,0
89,1
659,0
122,0
74,0
732,1
507,0
57,1
408,1
757,0
443,0
402,1
354,0
490,1
56,0
369,1
410,1
360,1
353,0
835,0
518,1
286,1
119,0
658,1
275,0
631,1
763,1
41,1
836,0
229,1
274,0
549,0
81,0
226,0
33,1
208,1
751,0
733,0
363,0
759,0
465,0
694,1
500,1
70,1
284,1
530,0
80,0
349,0
435,1
698,1
309,0
190,0
758,0
290,0
406,0
819,1
398,1
266,1
297,0
442,1
652,0
710,1
432,1
634,1
881,0
648,0
514,0
713,0
862,0
187,1
828,0
534,1
207,1
608,1
24,0
706,0
302,0
370,0
497,1
653,1
526,1
213,1
439,1
430,1
212,0
537,1
184,0
463,1
159,1
46,0
558,1
124,1
345,1
447,1
108,0
232,0
668,1
513,0
726,0
792,0
236,1
125,0
401,0
847,1
394,1
23,0
158,1
330,0
805,0
752,1
749,1
481,1
387,0
601,0
477,0
301,0
389,0
650,1
502,0
214,0
342,0
378,0
827,0
644,0
54,1
145,1
293,0
885,1
273,1
428,0
715,0
143,1
574,1
813,0
564,1
319,0
607,0
270,0
728,1
392,1
115,0
180,1
831,1
341,0
779,1
35,0
467,0
241,0
93,0
202,1
814,0
20,1
183,1
603,0
561,0
